,City,Country,Max Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
492,Loiza,PR,80.06,18.43,-65.88,69,75,10.29
493,Lagoa,PT,55.4,37.14,-8.45,71,0,9.17
494,Carinhanha,BR,88.11,-14.3,-43.77,60,24,2.95
495,Vikhorevka,RU,15.8,56.12,101.17,85,56,11.18
497,Yeppoon,AU,73.4,-23.13,150.74,88,40,6.93
498,Kongsberg,NO,35.6,59.67,9.65,74,0,6.93
499,Siguiri,GN,88.02,11.42,-9.17,21,0,5.19
500,Veseloyarsk,RU,3.46,51.29,81.11,81,80,3.4
501,Tessalit,ML,62.73,20.2,1.01,25,0,3.74
502,Codrington,AU,66.2,-28.95,153.24,93,92,4.7
503,Cabras,CO,66.19,5.5,-75.6,79,76,0.94
504,Alyangula,AU,84.2,-13.85,136.42,83,32,4.7
505,Mvuma,ZW,65.61,-19.28,30.53,95,32,4.41
506,Sao Felix do Xingu,BR,75.96,-6.64,-51.99,94,80,2.73
507,Oriximina,BR,77.71,-1.77,-55.87,92,92,3.4
508,Kysyl-Syr,RU,-29.21,63.9,122.77,46,44,8.21
509,Grand Gaube,MU,82.4,-20.01,57.66,83,40,11.41
510,Marawi,PH,67.68,8,124.29,92,68,3.06
511,Sainte-Julienne,CA,21.2,45.96,-73.71,57,90,10.29
512,Acajutla,SV,84.2,13.59,-89.83,39,0,13.87
513,Pinerolo,IT,37.4,44.89,7.33,37,0,2.24
514,Grindavik,IS,37.4,63.84,-22.43,86,90,6.93
515,Bafq,IR,32.58,31.6,55.4,48,8,4.63
516,Chapleau,CA,-2.21,47.85,-83.4,58,5,9.17
517,Velsk,RU,19.26,61.07,42.1,90,76,6.87
518,Yulara,AU,80.6,-25.24,130.99,13,0,6.93
519,Severo-Yeniseyskiy,RU,-3.34,60.37,93.04,49,36,6.98
520,Huarmey,PE,70.87,-10.07,-78.15,81,92,3.62
522,Saint Anthony,US,33.98,43.97,-111.68,84,90,4.07
523,Pahrump,US,55.94,36.21,-115.98,46,1,3.36
525,Arlit,NE,59.67,18.74,7.39,60,0,2.39
526,Kyzyl-Suu,KG,9.76,42.34,78,100,8,3.51
528,Santa Maria,BR,77.49,-29.69,-53.81,85,88,6.42
530,Dalian,CN,71.6,19.86,110.11,94,75,4.47
531,Suez,EG,39.46,29.97,32.54,75,0,3.18
532,Cam Ranh,VN,75.2,11.92,109.15,94,75,5.82
533,Broome,GB,41,52.47,1.45,93,75,5.82
535,Coruripe,BR,81.49,-10.12,-36.18,94,12,12.01
536,Muyezerskiy,RU,14.22,63.93,31.65,83,56,10.67
538,Sistranda,NO,44.6,63.73,8.83,81,75,35.57
539,Inhambane,MZ,84.2,-23.87,35.38,83,20,9.17
540,Galle,US,61.7,29.74,-97.91,36,75,5.82
541,Iracoubo,GF,76.54,5.48,-53.21,93,92,5.64
542,Severnoye,RU,8.55,54.09,52.54,87,88,5.53
543,Kutum,SD,59.94,14.2,24.66,73,0,4.63
544,Nelson,CA,31.23,49.49,-117.29,96,80,1.72
545,Maputo,MZ,84.2,-25.97,32.57,79,40,9.17
546,Brokopondo,SR,86,5.06,-54.98,66,40,6.93
547,Nizhnevartovsk,RU,-31.01,60.93,76.58,73,0,6.71
548,Richards Bay,ZA,79.2,-28.77,32.06,76,0,14.7
549,Senanga,ZM,78.12,-16.1,23.3,77,32,3.18
550,Donskoye,RU,26.6,45.45,41.98,79,0,8.95
551,Oum Hadjer,TD,74.07,13.3,19.7,45,0,4.41
552,Gorin,US,28.4,40.36,-92.02,54,1,3.36
553,Manta,RO,27,45.1,24.1,90,92,2.84
554,Adrar,DZ,59,27.87,-0.29,15,0,10.29
555,Vryheid,ZA,65.61,-27.77,30.79,81,0,2.06
556,Morant Bay,JM,82.4,17.88,-76.41,58,20,5.82
557,Sao Jose do Campestre,BR,87.8,-6.32,-35.71,58,75,17.22
558,Sedam,IN,61.65,17.18,77.28,67,0,8.77
559,Wanning,AT,32,48.64,13.53,92,75,8.05
560,Acari,BR,84.42,-6.44,-36.64,52,56,11.23
561,Bartica,GY,86,6.41,-58.62,62,40,16.11
563,Ilhabela,BR,83.25,-23.78,-45.36,90,8,13.8
564,Lebyazhye,RU,23,59.96,29.42,85,90,6.71
566,Warrington,GB,48.2,53.39,-2.59,70,90,9.17
567,Bereda,ES,46.4,43.27,-7.54,65,0,5.82
568,Garanhuns,BR,83.25,-8.89,-36.49,51,0,11.34
569,Santa Cruz do Rio Pardo,BR,83.52,-22.91,-49.63,69,32,4.29
570,Kibala,TD,78.8,9.11,18.35,31,0,8.1
572,Hervey Bay,AU,71.6,-25.3,152.85,83,40,6.93
573,ChengDe,CN,4.36,40.97,117.93,59,8,2.51
574,Kununurra,AU,80.6,-15.77,128.74,94,24,7.65
576,Salmo,CA,31.23,49.19,-117.28,96,80,1.72
577,Taylor,US,59,30.57,-97.41,30,90,3.36
578,Ketchikan,US,46.04,55.34,-131.65,88,90,20.8
580,Kavaratti,IN,82.44,10.57,72.64,100,0,6.2
581,Benguela,AO,78.66,-12.58,13.4,96,12,6.31
582,Angoche,MZ,84.46,-16.23,39.91,98,48,17.94
583,Bhag,PK,54.27,29.04,67.82,91,12,4.97
584,Coxim,BR,91.53,-18.5,-54.75,55,48,6.64
585,Newport,GB,44.6,51.59,-3,100,90,5.82
586,Turukhansk,RU,-25.61,65.8,87.96,77,56,9.1
587,Plouzane,FR,41,48.38,-4.62,80,0,4.7
588,Lodwar,KE,79.02,3.12,35.6,37,8,8.43
589,Loa Janan,ID,76.54,-0.58,117.09,94,0,2.06
591,Oruro,BO,68,-17.97,-67.11,40,75,6.93
592,Helong,CN,47.88,25.94,116.13,98,92,3.06
593,Baykit,RU,-6.85,61.68,96.39,56,32,7.65
595,Yongzhou,CN,38.29,26.46,111.6,100,80,3.4
596,Kudahuvadhoo,MV,77.13,2.67,72.89,100,56,7.76
597,Kamiiso,JP,25.65,41.82,140.65,81,32,9.22
598,Bubaque,GW,86.76,11.28,-15.83,77,0,3.29
